Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,31,16,100,8,28,100,8,4
2,move,"move 30 17",1,121,350,150,30,17,100,8,28,100,8,4
3,move,"move 9 27",2,126,350,150,30,17,100,9,27,100,8,4
4,move,"move 9 5",3,131,350,150,30,17,100,9,27,100,9,5
5,dig,"dig 29 17",1,138,350,150,30,17,100,9,27,100,9,5
6,dig,"dig 10 26",2,145,350,150,30,17,100,9,27,100,9,5
7,dig,"dig 10 6",3,152,350,150,30,17,100,9,27,100,9,5
8,move,"move 29 17",1,157,350,150,29,17,100,9,27,100,9,5
9,move,"move 10 26",2,162,350,150,29,17,100,10,26,100,9,5
10,move,"move 10 6",3,167,350,150,29,17,100,10,26,100,10,6
11,dig,"dig 28 17",1,174,350,150,29,17,100,10,26,100,10,6
12,move,"move 11 25",2,179,350,150,29,17,100,11,25,100,10,6
13,move,"move 11 7",3,184,350,150,29,17,100,11,25,100,11,7
14,move,"move 28 17",1,189,350,150,28,17,100,11,25,100,11,7
15,move,"move 12 24",2,194,350,150,28,17,100,12,24,100,11,7
16,move,"move 12 8",3,199,350,150,28,17,100,12,24,100,12,8
17,dig,"dig 27 17",1,206,350,150,28,17,100,12,24,100,12,8
18,move,"move 13 23",2,211,350,150,28,17,100,13,23,100,12,8
19,dig,"dig 13 9",3,218,350,150,28,17,100,13,23,100,12,8
20,move,"move 27 17",1,223,350,150,27,17,100,13,23,100,12,8
21,move,"move 14 22",2,228,350,150,27,17,100,14,22,100,12,8
22,move,"move 13 9",3,233,350,150,27,17,100,14,22,100,13,9
23,move,"move 26 17",1,238,350,150,26,17,100,14,22,100,13,9
24,move,"move 15 21",2,243,350,150,26,17,100,15,21,100,13,9
25,move,"move 14 10",3,248,350,150,26,17,100,15,21,100,14,10
26,move,"move 25 17",1,253,350,150,25,17,100,15,21,100,14,10
27,dig,"dig 16 20",2,260,350,150,25,17,100,15,21,100,14,10
28,move,"move 14 11",3,265,350,150,25,17,100,15,21,100,14,11
29,move,"move 24 17",1,270,350,150,24,17,100,15,21,100,14,11
30,move,"move 16 20",2,275,350,150,24,17,100,16,20,100,14,11
31,move,"move 14 12",3,280,350,150,24,17,100,16,20,100,14,12
32,move,"move 23 17",1,285,350,150,23,17,100,16,20,100,14,12
33,move,"move 17 19",2,290,350,150,23,17,100,17,19,100,14,12
34,move,"move 14 13",3,295,350,150,23,17,100,17,19,100,14,13
35,move,"move 22 17",1,300,350,150,22,17,100,17,19,100,14,13
36,move,"move 18 18",2,305,350,150,22,17,100,18,18,100,14,13
37,move,"move 14 14",3,310,350,150,22,17,100,18,18,100,14,14
38,dig,"dig 21 17",1,317,350,150,22,17,100,18,18,100,14,14
39,move,"move 18 17",2,326,360,150,22,17,110,18,17,100,14,14
40,move,"move 14 15",3,334,370,150,22,17,110,18,17,110,14,15
41,dig,"dig 21 18",1,341,370,150,22,17,110,18,17,110,14,15
42,move,"move 18 18",2,346,370,150,22,17,110,18,18,110,14,15
43,snowball,"snowball 10 16",3,363,370,150,22,17,110,18,18,110,14,15
44,move,"move 21 18",1,368,370,150,21,18,110,18,18,110,14,15
45,dig,"dig 18 19",2,375,370,150,21,18,110,18,18,110,14,15
46,dig,"dig 15 16",3,382,370,150,21,18,110,18,18,110,14,15
47,dig,"dig 20 19",1,389,370,150,21,18,110,18,18,110,14,15
48,move,"move 18 19",2,390,357,150,21,18,110,18,19,97,14,15
49,snowball,"snowball 10 16",3,407,357,150,21,18,110,18,19,97,14,15
50,move,"move 20 19",1,412,357,150,20,19,110,18,19,97,14,15
51,move,"move 18 20",2,417,357,150,20,19,110,18,20,97,14,15
52,move,"move 15 16",3,422,357,150,20,19,110,18,20,97,15,16
53,dig,"dig 19 20",1,429,357,150,20,19,110,18,20,97,15,16
54,move,"move 17 21",2,434,357,150,20,19,110,17,21,97,15,16
